RecNo|Submod|Pos|MaxPar|NotP|Runout|NotR|NomT|NotT|MinMach|NotM|Discard|NotD|Finish|NotF
81334|W/ 2 PISTON|R|.0006||.0022|213|.787||NS||.709||NS|
81335|W/ 4 PISTON|F|.0006||.0014|213|1.260||NS||1.181||NS|
81336|W/ 2 PISTON|F|.0006||.0014|213|1.102||NS||1.024||NS|
81337||F|.0006||.0021|213|1.181||NS||1.122||NS|
81338||R|.0006||.0020|213|.787||NS||.709||NS|
81343||R|.0006||.0014|213|.630||.551||NS||NS|
81345|W/O Ceramic Disc|R|.0006||.001|052|.787||.732||.709||NS|
81346|W/ Ceramic Disc|F|.0007||.001|052|1.339||NS||NS||216|
81347|W/O Ceramic Disc|F|.0007||.001|052|1.102||1.047||1.024||NS|
81348|W/ Ceramic Disc|R|.0007||.001|052|1.102||NS||NS||216|
81391|1LH/1ZG W/ FN3, 16"|F|NS||NS||.984||NS||.866||NS|
81588|W/RPO JE5|R|.001||.002||.906||NS||.846||NS|
81627||R|.0002||.0016||.394||NS||.331||NS|
81628||F|.0002||.0016||.866||NS||.787||NS|
81637|Ex. Hybrid|R|.0004||.0012||.393||NS||.330||NS|
81638|Hybrid|R|.0004||.002||.393||NS||.330||NS|
81660|W/ RPO 1LL|F|NS||NS||1.338||NS||1.260||NS|
81662|W/ RPO 2EA|R|NS||NS||.866||NS||.787||NS|
81672|14.56 inch dia. Disc|R|NS||NS||0.944||NS|098|0.881||NS|
81676|Ex. SRT-8|R|.0004||.002||NS||.807||NS|044|NS|
81677|Heavy Duty|F|.0005||.002||NS||1.200||NS|044|NS|
81678|SRT-8|R|.0004||.0012||NS||1.023||NS|044|NS|
81679|SRT-8|F|.0004||.002||NS||1.259||NS|044|NS|
81680|Base|F|.0004||.002||NS||1.200||NS|044|NS|
81852||F|.0008||.002||1.024||.945||.905||NS|
81853||R|.0008||.002||.472||.402||.393||NS|
81876||F|.0002||.002||.910||NS||.842||NS|
81877||R|.0004||.002||.394||NS||.331||NS|
81884|W/ 10.3" DISC|R|.0006||.0024||.386|165|.331||NS|044|NS|
81885||F|.0002||.002||1.020|164|.961||NS|044|NS|
81886|W/ 11.8" DISC|R|.0006||.0016||.386|165|.331||NS|044|NS|
81914||R|.0035||.0008||NS||.409||NS|044|NS|
81915||F|.0035||.0008||NS||1.049||NS|044|NS|
81926||R|NS||.0059|204|.394||NS||.335||NS|
81927||F|NS||.0020|204|1.10||NS||.984||NS|
81968||F|NS||.0016||1.102||1.024||NS|044|NS|
81969||R|NS||.0020||.630||.551||NS|044|NS|
81976||R|.0008||.0028|213|.630||.551||NS||NS|
81980||F|.0001||.002|213|.870||.787||NS||NS|
82015|W/ Solid Rotor|R|NS||NS||.472||NS||.394||NS|
82017|W/ Vented Rotor|R|NS||NS||.787||NS||.708||NS|
82093||F|NS||.002||.945||NS||.866||NS|
82094|Vented Rotor|R|NS||.002|266|.709||NS||.630||NS|
82095|Solid Rotor|R|NS||.002|266|.394||NS||.335||NS|
82099||R|.0006||.0022|213|.787||0.551||NS||NS|
82104|W/ 2 Piston|F|.0006||.0014|213|1.339||1.260||NS||NS|
82105|W/ 1 Piston|R|.0006||.0022|213|.630||.531||NS||NS|
82111|W/ 1, 2 FRONT PISTON|R|.0006||.0022|213|.630||.551||NS||NS|
82112|W/ 1 FRONT PISTON|R|.0006||.0022|213|.630||.591||NS||NS|
