RecNo|Submod|Pos|MaxPar|NotP|Runout|NotR|NomT|NotT|MinMach|NotM|Discard|NotD|Finish|NotF
1||F|.0006||.004||.900||NS||.830||NS|
2||R|.0006||.004||.390||NS||.310||NS|
3||R|.0006||.004||.395||NS||.315||NS|
4||F|.0006||.004||.985||NS||.906||NS|
5||F|.0006||.004||.750||.670|||044|NS|
6||R|.0006||.006||.390||.310|||044|NS|
25||R|.0006||.004||.354||NS||.315||NS|
26||F|.0006||.004||.826||NS||.748||NS|
49||F|.0006||.0004||.822||NS||.748||NS|
50||R|.0006||.0004||.350||NS||.315||NS|
71|Type R|F|.0006||.004||.905||.830|||044|NS|
72||R|.0006||.004||.350||.310|||044|NS|
73|Others|F|.0006||.004||.825||.750|||044|NS|
86||F|.0006||.004||.830||.750|||044|NS|
105||R|.0006||.006||.393||.315|||044|NS|
116||F|.0006||.004||1.102||NS||1.024||NS|
117||R|.0006||.004||.354||NS||.295||NS|
122|Sedan|R|.0006||.004||.354||NS||.295||NS|
123|Sedan|F|.0006||.004||1.102||NS||1.024||NS|
130|Coupe|F|.0006||.004||1.102||NS||1.024||NS|
131|Coupe|R|.0006||.004||.354||NS||.295||NS|
168||F|.0006||.004||1.102||1.024|||044|NS|
169||R|.0006||.004||.826||.748|||044|NS|
184||R|.0006||.004||.905||.826|||044|NS|
192||F|.0006||.004||.906||NS||.826||NS|
196||F|.0004||.005||1.02||.983||.969||NS|
197||R|.0004||.005||.710||.668||.654||NS|
198||R|.0006||.004||.350||.300|||044|NS|
199||F|.0006||.004||.900||.830|||044|NS|
202||F|.0006||.004||.900||NS||.826||NS|
203||R|.0006||.004||.350||NS||.295||NS|
208||F|.0006||.004||.910||.830|||044|NS|
209||R|.0006||.004||.390||.310|||044|NS|
268|||.0005||.003||.875||.810|||044|15-80|
306|||.0005||.004||.875||.810|||044|15-80|
624|||.0005||.003||NS||.815|||044|15-80|
630||R|NS||NS||.394||NS||.315||NS|
631|Girling|F|NS||NS||.866||NS||.787||NS|
632|Teves|F|NS||NS||.866||NS||.787||NS|
642||R|NS||NS||.394||NS||.354||NS|
643|Vented Rotor|F|NS||NS||.980||NS||.910||NS|
644|Solid Rotor|F|NS||NS||.591||NS||.512||NS|
654||F|NS||NS||.984||NS||.906||NS|
711|Double Piston|F|NS||NS||.984||NS||.905||NS|
731|Sedan|F|.0008||.002||.472||.413||.394||NS|
734|Coupe|F|.0003||.001||.787||NS||.726||NS|
736|Coupe|R|.0004||.001||.394||NS||.315||NS|
765|Sedan|F|.0003||.001||.787||.728||.709||NS|
770||F|.0003||.001||.787||.728||.709||NS|
771||R|.0006||.002||.394||.335||.315||NS|
788|Nat Aspir W/ Vented||NS||.001||.984||.904||NS||NS|
789|Nat Aspir W/ Solid||.0008||.002||.866||.807||.787||NS|
800|TURBO, Solid|F|.0008||.002||.866||.807||.787||NS|
801|TURBO|R|.0008||.002||.394||.335||.315||NS|
811|Nat Aspir W/ Vented|F|NS||.001||.984||.904||NS||NS|
813|Natural Aspiration|R|.0004||.001||.394||.335||.315||NS|
814|Nat Aspir W/ Solid|F|.0008||.002||.866||.807||.787||NS|
816|W/ dual piston|F|NS||.001||.984||.904||NS||NS|
817|Natural Aspiration|R|.0008||.001||.394||.335||.315||NS|
818|W/ single piston|F|NS||.002||.866||.807||.787||NS|
870||F|NS||NS||.866||NS||.787||NS|
924|Lucas, Solid Rotor|F|NS||NS||.510||NS||.430||NS|
925|Teves/ATE Solid|F|NS||NS||.590||NS||.510||NS|
926|Lucas, Vented Rotor|F|NS||NS||.870||NS||.790||NS|
927|Teves/ATE Vented|F|NS||NS||.984||NS||.906||NS|
928||R|NS||NS||.390||NS||.310||NS|
947|Teves/ATE Solid|F|NS||NS||.590||NS||.512||NS|
959||F|NS||NS||.980||NS||.910||NS|
983|BREMBO 17"|F|NS||NS||1.181||||1.102|||
984|HP 2 15"/16"|F|NS||NS||1.181||||1.102|||
985|C38|R|NS||NS||.394||||.315|||
986|FN-3 15"/16"|F|NS||NS||.984||||.866|||
987|C43 16"|R|NS||NS||.787||||.709|||
988|C43 17"|R|NS||NS||.866||||.787|||
1003||F|.0003||.001||.787||.726||.709||NS|
1018||F|NS||NS||.964||NS||.906||NS|
1027||R|.0008||.002||.394||.335||.315||NS|
1028||F|.0008||.002||.866||.807||.787||NS|
1044||R|NS||NS||.790||NS||.710||NS|
1046||F|NS||NS||1.180||NS||1.10||NS|
1047||R|NS||NS||.780||NS||.710||NS|
1092||R|.0008||.0016|046|.390||.354||.331|||099
1093||F|.0008||.0016|046|.500||.451||.437|||099
1096|Vented Rotor|F|.0008||.0016|046|.866||.827||.803|||099
1098|Solid Rotor|F|.0008||.0016|046|NS||NS||.409|||099
1101|Solid Rotor|F|.0008||.0016|046|.500||.451||.409|||099
1104|Vented Rotor|F|.0008||.0016|046|NS|108|NS||.803|||099
1105|Vented Rotor|R|NS|||100|NS||NS|098|.685|||099
1106|Solid Rotor|R|NS|||100|NS||NS|098|.331|||099
1107|Solid Rotor|F|NS|||100|NS||NS|098|.409|||099
1108|Vented Rotor|F|NS|||100|NS||NS|098|.803|||099
1140|Solid Rotor|R|NS|||100|NS|||098|.331|||099
1141|Solid Rotor|F|NS|||100|NS|||098|.409|||099
1142|Vented Rotor|R|NS|||100|NS|||098|.685|||099
1143|Vented Rotor|F|NS|||100|NS|||098|.803|||099
1176|W/O Girling Caliper|F|.0008||.0016|046|.862||.846||.827||NS|
1177|W/ Girling Caliper|F|.0008||.0016|046|.500||.480||.461||NS|
1190||R|.0008||.0016|046|.390||.354||.331||35-85|
1191|Solid Rotor|F|.0008||.0016||.500||.451||.409||35-85|
1192|Vented Rotor|F|.0008||.0016|046|.866||.827||.803||35-85|
1196||F|.0008||.0016|046|.866||.827||.803|||099
1204|Solid Rotor|F|.0008|||100|.500||.451||.409|||099
1205|Vented Rotor|F|.0008|||100|.866||.827||.803|||099
1206|Solid Rotor|R|.0008|||100|.390||.354||.331|||099
1219|Solid Rotor|R|NS|||100|NS|||098|.409|||099
1238|Solid Rotor|F|.0008||.0016|046|.500||.451||.409||35-85|
1248|Solid Rotor|R|NS||NS|100|NS|||098|.331|||099
1249|Solid Rotor|F|NS||NS|100|NS|||098|.409|||099
1250|Vented Rotor|F|NS||NS|100|NS|||098|.803|||099
1251|Vented Rotor|R|NS||NS|100|NS|||098|.685|||099
1277||R|NS|||100|NS|||098|.331|||099
1314||R|.0008||.0016|046|.370||.334||.311|||099
1315||F|.0008||.0016|046|.866||.803||.787|||099
1320|Vented Rotor|R|NS|||100|NS||NS|098|.724|||099
1322||F|NS|||100|NS||NS|098|.803|||099
1334||R|NS|||100|NS||NS|098|.331|||099
1343||F|.0008||.0016|046|.980||.945||.921|||099
1367||R|NS|||100|NS|||098|.724|||099
1368||F|NS|||100|NS|||098|1.039|||099
1371||F|NS||NS||NS|||098|1.118|||099
1373||R|NS||NS||NS|||098|.724|||099
1374||F|.0008||.0016|046|.866||.846||.827||NS|
1375||R|.0008||.0016|046|.748||NS||.685||NS|
1385||F|.0008||.0016|046|NS||.945||.921|||099
1399||R|.0008||.0016|046|NS||.374||.354||NS|
1412||F|.0008||.0016|046|.980||.921||.906|||099
1416||F|.0008||.0016|046|1.098||1.063||1.039|||099
1417||R|.0008||.0016|046|.394||.354||.331|||099
1438||F|NS||.0016|046|NS||NS||1.118||35-85|
1439||R|NS||.0016|046|NS||NS||.724||35-85|
1442||R|NS|||100|NS||NS|098|.409|||099
1443||F|NS||NS||NS||NS|098|1.118|||099
1446||F|NS||.0016|046|NS||NS||1.118||NS|
1447||R|NS||.0016|046|NS||NS||.409||NS|
1456|W/ Bridge Calipers|F|NS|||100|NS|||098|1.118|||099
1458|W/O Bridge Calipers|F|NS|||100|NS|||098|1.039|||099
1478||F|NS||NS||NS|||098|1.197|||099
1483||F|NS|||100|NS|||098|1.118|||099
1484||R|NS|||100|NS|||098|.409|||099
1499||F|NS|||100|NS||NS|098|1.197|||099
1500||R|NS|||100|NS||NS|098|.724|||099
1504||R|NS||.0016|046|NS||NS||.409||35-85|
1511||R|.0008||.0016|046|.468||.409||.354|||099
1519||R|NS||NS|100|NS||NS|047|.724||NS|
1520||F|NS||NS|100|NS||NS|047|1.039||NS|
1525|Others|F|NS|||100|NS|||047|1.197|||099
1526|Some|F|NS|||100|NS|||047|1.039|||099
1527||R|NS|||100|NS|||047|.724|||099
1539|Vented Rotor|F|NS||NS||NS||NS|098|.803||NS|099
1540|Solid Rotor|F|NS||NS||NS||NS|098|.409||NS|099
1551|||.0005||.004||1.040||.980||.965||30-80|045
1557|||.0005||.005||1.040||.980||.965||30-80|045
1654|||.0005||.004||1.035||.980||.965||30-80|045
1683|HD Brakes||.0005||.004||1.043||.972||.957||12-51|
1684|LD Brakes||.0005||.004||.880||.830||.815||12-51|
1717|Wagon||.0005||.004||1.035||.972||.957||12-51|
1813|LD Brakes||.0005||.004||.880||.830||.815||10-50|
1814|HD Brakes & Wagon||.0005||.004||1.035||.971||.956||10-50|
1851|HD Brakes||.0005||.004||1.035||.971||.956||10-50|
1869|HD Brakes|F|.0005||.004||1.035||.971||.956||10-50|
1870|LD Brakes|F|.0005||.004||.880||.830||.815||10-50|
1917|||.0005||.002||1.028||.972||.957||30-60|
2004|||.0005||.004||1.043||.972||.957||10-50|
2023||F|.0005||.004||1.043||.972||.957||10-50|
2218|||.0005||.004||1.043||.980||.965||10-50|045
2240||F|.0005||.004||1.043||.980||.965||10-50|045
2249|||.0005||.002||1.260||1.224||1.209||30-60|
2261|||.0005||.002||1.260||1.224||1.209||0-50|
2273||F|.0005||.002||1.267||1.224||1.200||30-60|
2274||R|.0005||.002||.433||.423||.374||30-60|
2277||R|.0005||.004||.494||.444||.429||10-50|
2278||F|.0005||.004||1.035||.971||.956||10-50|
2370|||.0005||.004||1.043||.980||.965||30-80|045
2385||R|.0005||.004||.492||.444||.429||30-60|
2386||F|.0005||.004||1.040||.987||.972||30-60|
2413||F|.0005||.003||1.035||.987||.972||30-60|
2432||R|.0005||.003||.433||.385||.370||30-60|
2439||R|.0005||.003||.433||.393||.354||30-60|
2440||F|.0005||.003||1.270||1.224||1.210||30-60|
2448|||.0005||.005||1.035||.980||.965||30-80|045
2470||F|.0005||.004||1.035||.980||.965||19-80|045
2479|W/ 4-Wheel Disc|R|.0005||.004||1.035||.980||.965||19-80|045
2496||F|.0005||.004||1.043||.971||.956||10-50|
2497||R|.0005||.003||.494||.444||.429||10-50|
2511||F|.0005||.002||1.260||1.250||1.209||30-60|
2515||R|.0005||.002||.433||.423||.374||NS|
2526||F|.0005||.004||1.043||.980||.965||30-60|
2528||F|.0005||.005||1.043||.980||.965||NS|
2534||F|.0005||.003||1.043||.980||.965||NS|
2551|||.0005||.004||.880||.830||.815||12-51|
2553|Vented Rotor||.0005||.004||.880||.830||.815||12-51|
2577|||.0005||.004||.880||.830||.815||10-50|
2592||F|.0005||.004||.880||.830||.815||10-50|
2707|W/ Performance PKG.||.0005||.003||.806||.786||.771||10-50|
2708|W/O Performance PKG.||.0005||.004||.880||.830||.815||10-50|
2727|||.0005||.003||.806||.786||.736||30-60|
2767|||.0005||.004||.885||.830||.815||12-51|
2771|||.0005||.004||.885||.830||.815||10-50|
2797||R|.0005||.002||.433||.389||.374||30-60|
2798||F|.0005||.002||1.260||1.224||1.209||30-60|
2806||F|.0005||.004||1.102||1.043||.984||30-60|
2807||R|.0005||.004||.472||.433||.393||30-60|
2808|Vented Rotor|F|.0005||.004||.885||.830||.815||12-51|
2809||F|.0005||.004||.885||.830||.815||12-51|
2811||F|.0005||.004||.885||.830||.815||10-50|
2817||F|.0005||.002||1.267||1.224||1.209||30-60|
2818||R|.0005||.002||.443||.389||.374||30-60|
2834|Standard Chassis|F|.0005||.004||1.035||.980||.965||20-60|045
2835|Commercial CHAS|F|.0005||.004||1.285||1.230||1.215||20-60|045
2871||R|.0005||.004||1.043||.972||.957||10-50|
2877||F|.0005||.002||1.276||1.240||1.220||30-60|
2892|Limousine|R|.0005||.002||.433||.389||.374||30-60|
2893|Commercial Chassis|F|.0005||.002||1.276||1.240||1.220||30-60|
2895|Limousine|F|.0005||.002||1.276||1.240||1.220||30-60|
2897|Commercial Chassis|R|.0005||.002||.433||.389||.374||30-60|
2901|Limousine|F|.0005||.002||1.267||1.224||1.209||30-60|
2902|Commercial Chassis|F|.0005||.002||1.267||1.224||1.209||30-60|
2924||R|.0005||.004||.974||.965||.921||20-60|045
2925||F|.0005||.004||1.040||.980||.965||20-60|045
2951||F|.0005||.004||1.043||.980||.965||20-60|
2956||R|.0005||.004||1.035||.980||.965||10-50|
2963||R|.0005||.003||.492||.444||.429||10-50|
3033||F|.0005||.004||1.285||1.230||1.215||20-60|045
3075|FWD|F|.0005||.004||1.035||.972||.957||10-50|
3077|RWD||.0005||.004||1.035||.980||.965||10-50|
3079|FWD|R|.0005||.004||1.043||.972||.957||10-50|
3080|RWD Fleetwood|F|.0005||.004||1.032||.980||.965||10-50|
3085|RWD|F|.0005||.005||1.032||.980||.965||30-60|
3088|RWD Fleetwood|F|.0005||.005||1.032||.980||.965||30-60|
3107|FWD|R|.0005||.002||.433||.389||.374||30-60|
3108|FWD|F|.0005||.002||1.276||1.240||1.220||30-60|
3208|||.0005||.003||1.040||.980||.965||10-50|
3216||F|.0005||.003||1.040||.980||.965||10-50|
3218|4WD||.0005||.003||1.250||1.230||1.215||10-50|
3219|2WD||.0005||.003||1.040||.980||.965||10-50|
3272|||.0005||.004||.885||.830||.815||30-60|
3276||F|.0005||.004||.885||.830||.815||30-60|
3288|||.0005||.003||.796||.751||.736||30-60|
3337|||.0005||.004||1.280||1.230||1.215||20-60|
3356|||.0005||.003||1.030||.980||.965||30-80|
3358|W/O 4-Wheel Disc|F|.0003||.003||1.030||.980||.965||30-60|
3359|W/ 4-Wheel Disc|R|.0005||.004||.787||.735||.728||30-60|
3360|W/ 4-Wheel Disc|F|.0003||.003||1.140||1.130||1.080||30-60|
3455|LD Brakes||.0005||.004||1.035||.980||.965||10-50|
3456|HD Brakes||.0005||.004||1.260||1.230||1.215||10-50|
3527|LD Brakes|F|.0005||.004||1.035||.980||.965||10-50|
3528|HD Brakes|F|.0005||.004||1.260||1.230||1.215||10-50|
3555|||.0005||.003||1.260||1.230||1.215||30-60|
3738||F|.0005||.004||1.035||.980||.965||10-50|
3741||F|.0005||.003||1.260||1.230||1.215||30-60|
3745||F|.0005||.004||1.260||1.230||1.215||10-50|
3758|W/O JB8, JF9|F|.0005||.004||1.260||1.230||1.215||NS|
3759|W/ JF9|F|.0005||.004||1.540||1.480||1.465||NS|
3760|W/ JB8|F|.0005||.004||1.500||1.480||1.465||NS|
3788|JB7, JD7, JD8, Z56|F|.0005||.003||1.260||1.230||1.215||30-60|
3789|W/ 4 Wheel Disc, JF9|R|.0005||.003||1.535||1.480||1.465||30-60|
3790|JB8, Dual rear wheel|F|.0005||.003||1.500||1.480||1.465||30-60|
3791|W/ 4 Wheel Disc, JF9|F|.0005||.003||1.535||1.480||1.465||30-60|
3807|W/ 4 Wheel Disc|F|.001||.010||1.428||1.382||1.366||30-60|
3808|W/ 4 Wheel Disc|R|.001||.010||1.428||1.382||1.366||30-60|
3903|Hydroboost||.0005||.004||1.535||1.480||1.465||20-60|
3904|STD Power Steering||.0005||.004||1.280||1.230||1.215||20-60|
4001|||.0005||.004||1.260||1.230||1.215||30-60|
4004||F|.0005||.004||1.260||1.230||1.215||30-60|
4007|DRW W/ Rear Drum||.0005||.003||1.500||1.480||1.465||30-60|
4008|SRW||.0005||.003||1.260||1.230||1.215||30-60|
4009|DRW, 4 Wheel Disc|R|.0005||.003||1.535||1.480||1.465||30-60|
4010|DRW, 4 Wheel Disc|F|.0005||.003||1.535||1.480||1.465||30-60|
4075|DRW, 4 Wheel Disc|F|.001||.010||1.428||1.382||1.366||30-60|
4078|DRW, 4 Wheel Disc|R|.001||.010||1.428||1.382||1.366||30-60|
4150||F|.0005||.004||1.030||.980||.965||30-80|045
4151||R|.0005||.004||1.030||.980||.965||30-80|045
4186||R|.0005||.005||1.035||.986||.956||40-80|
4187||F|.0005||.004||1.035||.980||.965||30-80|
4212||R|.0005||.003||.795||.744||.724||30-60|
4213||F|.0005||.005||1.043||.980||.965||30-60|
4244||F|.0005||.005||1.260||1.224||1.209||30-60|
4245||R|.0005||.006||.787||.733||.724||30-60|
4299|||.0005||.004||1.030||.980||.965||30-80|045
4339|||.0005||.004||1.043||.980||.965||10-50|
4356||F|.0005||.004||1.043||.980||.965||10-50|
4371||R|.0005||.004||.787||.735||.728||30-60|
4420|Vented Rotor||.0005||.004||.885||.830||.815||12-51|
4487|LD Brakes||.0005||.004||.885||.830||.815||12-51|
4514|LD Brakes||.0005||.004||.885||.830||.815||10-50|
4515|HD Brakes||.0005||.004||1.043||.972||.957||10-50|
4528|LD Brakes|F|.0005||.004||.885||.830||.815||10-50|
4529|HD Brakes|F|.0005||.004||1.043||.972||.957||10-50|
4533|Wagon|F|.0005||.004||1.043||.972||.957||10-50|
4545|||.0005||.003||.440||.390||.374||20-60|045
4566|||.0005||.003||.440||.404||.374||20-60|045
4572|||.0005||.005||.440||.430||.374||10-50|
4575|||.0005||.005||1.040||.980||.965||NS|
4628||R|.0005||.004||1.250||1.230||1.215||NS|
4629||F|.0005||.004||1.250||1.230||1.215||NS|
4664||F|.0005||.006||.780||.724|||044|10-50|
4665||R|.0005||.006||.780||.724|||044|10-50|
4668|LD Brakes|F|.0005||.006||.795||.744||.724||10-50|
4669||R|.0005||.006||.787||.744||.724||10-50|
4670|HD Brakes|F|.0005||.006||1.100||1.059||1.039||10-50|
4722||F|.0005||.003||1.260||1.205||1.190||30-60|
4723||R|.0005||.003||1.020||.980||.965||30-60|
4804|||.0005||.004||1.030||.980||.965||10-50|
4808|Late||.0005||.003||1.250||1.230||1.215||30-60|
4809|Early||.0005||.004||1.260||1.230||1.215||20-60|
4814|||.0005||.003||1.250||1.230||1.215||30-60|
4823|||.0005||.004||1.260||1.230||1.215||20-60|
4879||F|.0005||.004||1.260||1.230||1.215||20-60|
4908|Late||.0005||.003||1.260||1.230||1.215||30-60|
5121|W/ HD Brakes|F|.0005||.004||1.535||1.480||1.465||20-60|
5122|W/O HD Brakes|F|.0005||.004||1.260||1.230||1.215||20-60|
5170|DRW||.0005||.010||1.500||1.480||1.465||30-60|
5217|HD Brakes||.0005||.004||1.535||1.480||1.465||20-60|
5218|LD Brakes||.0005||.004||1.260||1.230||1.215||20-60|
5373|LD Brakes|F|.0005||.004||1.260||1.230||1.215||20-60|
5374|HD Brakes|F|.0005||.004||1.535||1.480||1.465||20-60|
5517|||.0005||.004||1.035||.980||.965||30-80|
5896|STD Power Steering||.0005||.004||1.260||1.230||1.215||20-60|
5970|||.0005||.004||1.280||1.230||1.215||30-60|
5973||F|.0005||.004||1.280||1.230||1.215||30-60|
5983|DRW||.0005||.003||1.535||1.480||1.465||30-60|
6022||F|.0005||.004||1.040||.984||.972||10-50|
6023||R|.0005||.004||.492||.441||.429||10-50|
6072||F|.0005||.003||1.039||.987||.972||30-60|
6088|||.0005||.002||1.276||1.224||1.209||30-60|
6097|||.0005||.005|056|.709||.668||.653||20-60|
6192||F|.001||.0015||1.031||.980||.972|||
6193||R|.001||.0015||.433||.388||.354|||
6198|Vented Rotor||.0005||.004||.670||NS||.590||NS|
6199|Solid Rotor||.0005||.004||.394||NS||.315||NS|
6285|||.0005||.004||.880||.830||.815||20-60|045
6293|||.0005||.005||.880||.830||.815||20-60|045
6385||F|NS||.006||.531||NS||.492||NS|
6386||R|NS||.006||.354||NS||.315||NS|
6391|SOHC|F|NS||.006||.531||NS||.492||NS|
6392|DOHC|F|NS||.006||.709||NS||.669||NS|
6687|HD Brakes||.0005||.004||1.280||1.230||1.215||20-60|
6688|LD Brakes||.0005||.004||1.035||.980||.965||20-60|
6693|W/ 4-wheel disc||.0005||.004||1.535||1.480||1.465||20-60|
6694|W/O 4-wheel disc||.0005||.004||1.280||1.230||1.215||20-60|
6703|||.0005||.004||1.535||1.480||1.465||20-60|
6737||F|.0005||.003||1.030||.980||.965||30-80|
6802|||NS||.006||.433||NS||.378||NS|
6808|||NS||.003||.394||NS||.315||NS|
6817|Vented Rotor|F|.0005||.004||.669||NS||.591||NS|
6818|Solid Rotor|F|.0005||.004||.394||NS||.315||NS|
6821|Vented Rotor||.0005||.004||.669||NS||.591||NS|
6830|||.0005||.004||1.280||1.230||1.215||10-50|
6832||F|.0005||.004||1.280||1.230||1.215||10-50|
6869||F|.001||.003||1.270||1.224||1.210||30-60|
6870||R|.001||.003||.430||.410||.350||30-60|045
6873||R|.0005||.003|048|.350||.285|||044|15-80|
6874||F|.0005||.003|048|.900||.843|||044|15-80|
6893||F|.0005||.003|048|.940||.912||.882||15-80|
6894||R|.0005||.003|048|.458||.439||.409||15-80|
6919||F|NS||.006||.940||NS||.880||NS|
6920||R|NS||.006||.710||NS||.650||NS|
6927|||.0005||.004||1.010||.970||.940||15-80|
6964|||.0005||.004|048|1.010||.970||.940||15-80|
6981||F|.0005||.004|048|.935||.912||.882||15-80|
6982||R|.0005||.005||.345||NS||.291||15-80|
6989|Vented Rotor|R|.0005||.003||.866||.827||.797||15-80|
6991|Solid Rotor|R|.0005||.005||.472||.439||.409||15-80|
7004||R|.0005||.005||.861||NS||.803||15-80|
7005||F|.0005||.005||.861||NS||.803||15-80|
7010||F|.0005||.005||.930||NS||.882||15-80|
7011||R|.0005||.005||.856||NS||.797||15-80|
7016|||.0005||.004|048|.935||.912||.882||15-80|
7023|||.0005||.004|048|1.005||.970||.940||15-80|
7031||F|.0005||.004|048|1.005||.970||.940||15-80|
7035|||.0005||.004||1.250||1.210||1.180||15-80|
7036||F|.0005||.004||1.250||1.210||1.180||15-80|
7043||R|.0005||.005||.472||.439||.409||15-80|
7140|||.0005||.004|048|.945||.912||.882||15-80|
7253||F|.0005||.004|048|.940||.912||.882||15-80|
7254||R|.0005||.004|048|.458||.439||.409||15-80|
7298||R|.0005||.003||.354||.321||.291||15-80|
7309||R|.0005||.005||.473||.439||.409||15-80|
7312||R|.0005||.003||.472||.439||.409||15-80|
7416||F|.0006||.003||.940||NS||.880||NS|
7417|Solid Rotor|R|.0006||.003||.390||NS||.330||NS|
7418|Vented Rotor|R|.0006||.003||.790||NS||.720||NS|
7446||F|.0005||.004||.861||.833||.803||15-80|
7447||R|.0005||.005||.354||.321||.291||15-80|
7501|||.0005||.003|048|.861||.833||.803||15-80|
7502|||.0005||.003|048|.944||.911||.881||15-80|
7507||R|.0005||.003|048|.468||.449|||044|15-80|
7508||F|.0005||.003|048|.939||.881|||044|15-80|
7523|1.0L||NS||.003||.433||NS||.394||NS|
7524|1.3L||NS||.003||.709||NS||.669||NS|
7529|1.0L|F|NS||.003||.433||NS||.394||NS|
7530|1.3L|F|NS||.003||.709||NS||.669||NS|
7559|||.0006||.006||.490||NS||.450||NS|
7759|||.0005||.004||1.245||1.210||1.180||15-80|
7795||F|.0005||.004||1.245||1.210||1.180||15-80|
8255|3300-3600 LBS Axle||.0005||.004||1.250||1.210||1.180||15-80|
8256|W/3800-4000 LBS Axle||.0005||.004||1.190||1.155||1.130||15-80|
8352|W/O 3800-4000LB Axle||.0005||.004||1.245||1.210||1.180||15-80|
8459|W/O 3800-4000LB Axle|F|.0005||.004||1.245||1.210||1.180||15-80|
8460|W/3800-4000 LBS Axle|F|.0005||.004||1.190||1.155||1.130||15-80|
8501||F|.0005||.004||1.194||1.155||1.125||15-80|
8540|||.0005||.004|048|.861||.833||.803||15-80|
8571||F|.0005||.004|048|.861||.833||.803||15-80|
8640||R|.0005||.003|048|.468||.449||.409||15-80|
8652||R|.0005||.003|048|.482||.443|||044|15-80|
8696|||NS||.006||.510||NS||.450||NS|
8701||R|NS||.006||.394||NS||.330||NS|
8702||F|NS||.006||.490||NS||.430||NS|
8809|||.0005||.004|048|.498||.461||.431||15-80|
8810|Shelby||.0005||.004|048|.935||.912||.882||15-80|
8811|Base||.0005||.004|048|.498||.461||.431||15-80|
8812|2+2||.0005||.004|048|.498||.461||.431||15-80|
8855|Sedan||NS||.006||.510||NS||.450||NS|
8864|Hatchback W/ RWD||NS||.006||.510||NS||.450||NS|
8867|FWD||NS||.006||.510||NS||.450||NS|
8868|RWD, Wagon||NS||.006||.510||NS||.449||NS|
8912|Natural Aspiration||NS||.006||.510||NS||.450||NS|
8913|TURBO||NS||.006||.700||NS||.640||NS|
8922|2WD||NS||.006||.710||NS||.650||NS|
8923|4WD||NS||.006||.940||NS||.880||NS|
8960|Wagon, 4WD||NS||.006||.709||NS||.650||NS|
8961|Vista FWD||NS||.006||.710||NS||.650||NS|
8962|Wagon, 2WD||NS||.006||.512||NS||.450||NS|
8964|Vista 4WD||NS||.006||.940||NS||.880||NS|
8990|1.6L|F|NS||.006||.940||NS||.882||NS|
8991|Hatchback|R|NS||.006||.390||NS||.331||NS|
8992|Wagon, 2WD|F|NS||.006||.512||NS||.450||NS|
8993|1.5L|F|NS||.006||.510||NS||.449||NS|
8994|Wagon, 4WD|F|NS||.006||.709||NS||.650||NS|
8995|Sedan|R|NS||.006||.390||NS||.331||NS|
9088|Sedan|F|NS||.006||.940||NS||.882||NS|
9089|Hatchback|F|NS||.006||.940||NS||.882||NS|
9092|Hatchback||NS||.006||.510||NS||.450||NS|
9190|Sedan||NS||.006||.710||NS||.646||NS|
9202|Wagon|R|NS||.003||.394||NS||.331||NS|
9203|Wagon|F|NS||.003||.945||NS||.882||NS|
9226|Sedan W/ Solid|F|NS||.003||.510||NS||.449||NS|
9228|HBK W/ Vented|F|NS||.003||.710||NS||.646||NS|
9229|Hatchback|R|NS||.003||.390||NS||.331||NS|
9230|Sedan W/ Vented|F|NS||.003||.710||NS||.646||NS|
9231|HBK W/ Solid|F|NS||.003||.510||NS||.449||NS|
9232|Sedan|R|NS||.003||.390||NS||.331||NS|
9500|W/O 4000 LBS Axle||.0005||.004||1.250||1.210||1.180||15-80|
9501|W/ 4000 LBS Axle||.0005||.004||1.190||1.155||1.125||15-80|
9556|Others||.001||.005||1.190||1.155||1.125||15-80|
9557|3300 LBS Axle||.001||.005||1.250||1.210||1.180||15-80|
9608|W/3300 LB Front Axle|F|.001||.005||1.250||1.210||1.180||15-80|
9613|3300 LBS Axle|F|.001||.005||1.250||1.210||1.180||15-80|
9614|Others|F|.001||.005||1.190||1.155||1.125||15-80|
9674|||.001||.005||1.190||1.155||1.125||15-80|
9702||F|.001||.005||1.190||1.155||1.125||15-80|
9718|||NS||.006||.787||NS||.724||NS|
9723|||.0005||.004||.866||.841||.811||15-80|
9728||F|.0005||.004||.866||.841||.811||15-80|
9756|||.0005||.004||.945||NS||.890||15-80|
9863||R|.0005||.004||.354||NS||.339||15-80|
10096||R|.0005||.003||.354||NS||.339||15-80|
10121||R|.0005||.005|048|.472||.439||.409||15-80|
10265|||NS||.006|048|.866||NS||.803||NS|
10455||F|.0005||.003|048|.782||.724|||044|15-80|
10456||R|.0005||.003|048|.344||.285|||044|15-80|
10487|||.0005||.004|048|.490||.461||.431||15-80|
10505||F|.0005||.004|048|.498||.461||.431||15-80|
10511|GLS|R|.0005||.004|048|.935||.912||.882||15-80|
10595|||NS||.006||.866||NS||.803||NS|
10597||F|NS||.006||.866||NS||.803||NS|
10599|||.001||.005||1.260||NS||1.215||15-80|
10610|||.001||.005||1.329||NS||1.269||15-80|
10611||F|.001||.005||1.584||NS||1.521||15-80|
10614||F|.001||.005||1.329||NS||1.269||15-80|
10627|||.001||.005||1.578||NS||1.518||15-80|
10640|||NS||.006||.790||NS||.720||NS|
10697|2WD||.0005||.004||1.250||1.210||1.180||15-80|
10698|4WD||.001||.005||1.250||1.210||1.180||15-80|
