RecNo|Submod|Appl|FTorq|RTorq|Note
43988||CB|27|6|
43998|4WD|BK|133|52|
44002|4WD|CB|85|23|
44006|1500 Series|BK|129|31|
44009|2500 Series|BK|221|80|
44013|1500 Series|CB|80|31|
44017|2500 Series|CB|80|80|
44109|4-Cyl|BK|80|41|
44112|4-Cyl|CB|26|18|
44118|6-Cyl|BK|80|41|
44246||CB|20|27|
44260||BK|51-62||
44265||BK|51-62|NS|
44271||BK|57-74|37-44|
44281||CB|32||
44289||BK|48-55|NS|
44309||CB|22|17|
44313||BK|48-55|48-55|
44324||CB|16-23|25-30|
44327||BK|102-122|29-37|
44336|W/ Brembo Brakes|CB|25|25|
44345||CB|25|25|381
44367|W/ Brembo Brakes|BK|180|60|
44370|W/O Brembo Brakes|BK|140|60|
44373|W/O Brembo Brakes|CB|25-30|25-30|
44377|W/ Brembo Brakes|CB|-|-|
44395||CB|11|18|
44433||BK|65-79||
44435||BK|47-54|47-54|
44438||CB|16-24|16-23|
44450||CB|25||706
44453|Rear Lower Bolt|CB||25|
44457|Rear Upper Bolt|CB||29|
44459||BK|79|46|
44474||BK|91|77|
44517||BK|148|140|
44519||CB|41|26|
44521||CB|32|18|
44524||BK|118|50|
44538||CB|19-22|19-22|
44541||BK|75-87|43-56|
44572|Kompressor|BK|133|133|
44583|4MATIC|BK|133|85|
44585||BK|85|85|516
44589||BK||85|110
44591||BK|133|133|
44614||CB|42|37|
44619||BK|166|128|
44620|Standard Brakes|CB|16-23|16-23|
44623|Brembo Brakes|CB|NS|16-23|
44626|Standard Brakes|BK|53-72|28-38|
44629|Brembo Brakes|BK|111-112|28-38|
44661||CB|23|81|
44667||BK|118|89|
44674||BK|83|NS|
44680||BK|136|75|
44699||BK|59|38.3|
44702||CB|27.5|27.5|
44711||BK|59||388
44716|14 Inch|BK||38.3|
44719|14 Inch|CB||27.5|
44722||CB|27.5||388
44726|16 Inch|BK|59||
44729||BK|114.3|47.9|564
44783|14 Inch|BK||39.1|
44831||CB|20||122
44834||BK|59|39|
44881|Type S|BK|80||
44883|Type S|CB|24||
44887|Others|CB|16||
44889||BK|140|103|
44891||CB|22|25|
44916||CB|26|16|
44922||BK|67-81|37-44|
44923||CB|25-31|28-36|448
44924|W/ 2.4L|CB|46-62|28-36|
44925||BK|130|100|
44926||CB|24|11|
44929|SRT|BK|77|55|
44930|Other|BK|NS|55|
44931|SRT|CB|26|16|
44932|Other|CB|16|16|
44975|Lower Rear|CB||25|
44978|Upper Rear|CB||25|
44997|C38|CB||25|
44998|Brembo 18|CB|NS||
44999|FN3|CB|22||
45000|C54|BK|140||
45001|FNR-G60|BK|140||
45002|C38|BK||55|
45003|Brembo 18|BK|147||
45004|FN3|BK|140||
45005|FNR-G60|CB|22||
45006|C41/C43|CB||25|
45007|C41/C43|BK||55|
45008|C54|CB|22||
45144|W/1KE|BK|||187
45159||BK|125|85|
45160||CB|32|17|
45162||BK|16-30|NS|
45163||CB|141-191|NS|
45170||BK|295|100|
45179||BK||34-44|
45180||CB|36-43|34-44|
45181||BK|116|62|
45182||CB|20|32|
45184||CB|53|26|
45203||CB|25|32|
45204||BK|77|58|
45205|AMG|BK|85|85|
45333||CB|34|32|
45335||BK|74|45|
45379|CII 43 -18" 1KY|CB||26|
45380||BK||66|313
45381||BK||66|349
45382|2FNR 42- 17" 1ZL|CB|22|NS|
45384|CII 43 -17" 1KP|CB||26|
45385|2FNR 42- 17" 1ZL|BK|140|NS|
45386|CII 43 -16" 1KD|CB||26|
45388|HP2-16" 1LX|BK|140|NS|
45389|Brembo-18" 1LC|CB|22|NS|
45391||BK||66|333
45405||CB|37|17|
45408||BK|80|57|
45436|BREMBO 17/18"|CB|22|NS|142
45439|FN3|CB|199|NS|
45441||BK|199|110|353
45443|FN3|BK|22|NS|
45445|FN44|BK|NS|147|
45447|FN44|CB|NS|22|
45452|SRT-10|CB|24|22|
45463|SRT-10|BK|130|145|
45465||CB|24|22|
45476||CB|25|44|
45479||BK|96|88|
45482||BK|250|145|
45498||BK|166|203|
45504||CB|56|26|
45534|W/ SRW|CB|56|26|
45540|W/ DRW|CB|56|56|
45578||BK|79|34|543
45580||BK|136|NS|
45581||CB|25|32|543
45583|New Style|CB|47|22|
45584||CB|25|25|634
45587||BK|79|46|634
45589|New Style|BK|148|60|
45600|w/AT|BK|80||
45604|w/MT|BK|125||
45611|w/MT|CB|—||
45612||BK|129||
45615|w/AT|CB|37||
45652|HD VING00442-G45704|BK|156|51|
45653||BK|101|65|
45654|HD VING00442-G45704|CB|NS|NS|
45656||CB|37|16|
45658||CB|25|25|363
45662||BK|76|76|363
45665|STD VING45704-G49999|BK|85|NS|
45669|HD VING45704-G49999|BK|85|NS|
45673|HD VING45704-G49999|CB|20|20|
45676|STD VING45704-G49999|CB|20|20|
45887||CB|32|24|
45891||BK|155||
45904||BK|63||623
45919||BK|63||595
45940||CB|46|46|
45947||BK|295|295|
46114||CB|22-25|22-25|
46196||CB|81|48|
46209||BK|24|24|
46230||CB|18|18|
46243||BK|81|81|
46307||BK|129|100|
46312||CB|24|27|
46372|INCL Sport|BK|83||
46379|INCL Sport|CB|24|24|
46386||BK|155|73|
46395||BK|166|87|
46399||CB|23|26|
46422||CB|70|25|
46449|Brembo Brakes|BK|74-88|28-38|
46451||CB|26|25|
46462|Standard Brakes|BK|74-88|28-38|
46517||BK|72-97|NS|
46632||BK|118|148|
46643|J56|BK|96|88|
46648|JL9|CB|46|44|
46653|JL9|BK|96|88|
46658|JE5|BK|96|88|
46664|JE5|CB|25|44|
46673|LD Brakes|CB|63|20|
46684|LD Brakes|BK|137|94|
46751|JC3/JC4/JH2|BK|129|148|
46758|JH6|CB|80|31|
46764|JH6|BK|129|122|
46770|JC3/JC4/JH2|CB|80|31|
46785||BK|155|NS|
46823|L36|BK|137|94|
46828||BK|77|70|
46830|LD8|BK|111|94|
46838|LD8|CB|25|20|
46844||CB|11|11|
46845|L36|CB|63|20|
46849||BK|100|100|
46970||CB|28-31||
46991|W/ KA24DE|BK|53-72||
46996|W/ V633E & V633ER|BK|101-130||
47146||BK|NA|NA|
47156|All|CB|80||
47163|C2500, K2500|CB||80|
47170||BK||148|549
47176||BK|129||614
47182||BK||122|551
47187|C2500, K2500|BK|221||
47193||CB||31|614
47283|10" Rotor|CB|20||
47290|9" Rotor|BK|70||
47292||BK|70|41|
47302|9" Rotor|CB|20||
47308|10" Rotor|BK|70||
47355|STD|CB|137|94|
47370|2 Wheel Disc|CB|38||
47372|W/ RPO JL9, J55|CB|23|23|
47376|4 Wheel Disc|CB|85|23|
47381|4 Wheel Disc|BK|133|52|
47385|W/ RPO J56|CB|30|30|
47387||BK|202|85|
47410|J41 / JM4|CB|25||
47418|JL9|CB|25||
47424|J41 / JM4|BK|85||
47430|JL9|BK|85||
47451|2WD Base|BK|80||
47454||BK|59-73|59-73|
47457|2WD Base|CB|65||
47462||CB|40|25|
47504|Lower Bolt|CB|19|23|
47513||BK|70|33|
47530||BK|63||
47642||BK||103|
47647|W/ 1LD, 1LG, 1LH|BK|144||
47658|W/ 1LT, 1LJ|CB|18||
47662||BK|79|58|
47664|W/ 1ZL|BK|144||
47668||BK|79|65|
47671|W/ 1ZL|CB|18||
47675|W/ 1LD, 1LG, 1LH|CB|18||
47682|W/ 1LT, 1LJ|BK|140||
47745||BK|136|65|
47768||BK|118|68|
47769||BK|81||
47774||CB|27|25|
47786||BK|136|76|
47830||BK|65-80|35-50|
47836||CB|62-68|16-23|
47842||CB|32|24|706
47845|W/ Drum Brake|CB|26|26|
47848||BK|136|76|706
47851|W/ Disc Brake|CB|33|26|
47864||BK|63|41|
47867|W/ Drum Brake|CB|26||
47878|V|CB|46|44|
47895|V|BK|136|88|
47914||CB||19|
47924||BK|85|133|
47960|As Of 4/2004|BK|85|62|
47963||CB||22|
47964|Plus 60 Degrees|BK||26|
47970||BK|85|63|
47971||CB|||198
47980|JC3/JC4/JH2|BK|129|122|732
47985|JC3/JC4/JH2|CB|80|31|732
47991|JC3/JC4/JH2|CB|80|31|731
47999|JC3/JC4/JH2|BK|129|148|731
48027|1500 Series|BK|129||
48036|2500 Series|BK|221||
48062||BK|133|88|
48065||CB|70|20|
48068||CB|26|32|
48098||BK|74|41|
48137|W/ JH6|BK|221|148|
48276||BK|122|NS|
48281||CB|53|24|
48352||CB|20|19|
48355||BK|88|51|
48357||BK|66|52|
48359||BK|133|221|
48365|W/O NYS|BK|133|148|
48373|W/O NYS|CB|74|31|
48379||CB|74|80|
48404||CB|21|26|
48409||BK|98|41|
48462||CB|25|24|
48485|2WD Base|CB|27||
48493|2WD X-Runner|CB|27||
48509|2WD X-Runner|BK|80||
48522||BK|221|122|
48537||CB|221|221|
48728||CB|27||
48736|Touring|CB|44|23|
48749|Limited|CB|44|23|
48763|Touring|BK|70|85|
48771|C|CB|44|23|
48779|Base|BK|70|85|
48787|Base|CB|44|23|
48795|C|BK|70|85|
48797|25/3500 Series|BK|221|221|
48802|25/3500 Series|CB|80|80|
48803|Limited|BK|70|85|
48809|1500 Series|BK|133||
48816|1500 W/O NYS|CB||31|
48822|1500 Series|CB|74||
48830|1500 W/ NYS|BK||221|
48836|1500 W/ NYS|CB||80|
48841|1500 W/O NYS|BK||148|
49101||CB|32|32|
49142|Plus 60 Degrees|BK|77|26|
49173||CB|16-24|NS|
49179||BK|51-63|16-24|
49262||BK|113|62|
49269||CB|20|32|559
49299|CLZ25VD BRAKE|BK|53-72|116-144|
49304|CLZ25VE BRAKE|BK|101-129|116-144|
49310|CLZ25VE BRAKE|CB|17-22|28-35|
49315|CLZ25VD BRAKE|CB|16-23|28-35|
49371||BK|112|62|
49410||BK|101-129|130|
49415||CB|17-22|32|
49572|SVT Focus|CB|21|26|
49573||CB|63-69|30-36|
49578|SVT Focus|BK|98|41|
49579||BK|76-90|68-81|
49589||BK|67-81|42-48|
49592||CB|70|25|380
49597||CB|44|44|632
49602||BK|133|89|380
49607||BK|136|96|632
49627||CB|48-62|30-36|
49640||BK|74-81|42-48|
49654||BK|52||624
49667||BK|74|81|
49671||CB|44|23|
49741||BK|74|80|
49747|W/O NYS|BK|74|31|
49750||CB|19.5||388
49751||CB|133|221|
49756|W/O NYS|CB|133|148|
49760|16 Inch|BK|59|39|
49764|16 Inch|CB|NS||
49783||CB|19.2|27.5|
49868||BK|84|62|
49871||CB|18|NS|
49875||CB|40|18|
49878||BK|NS|44|097
49881||BK|85|40|
49887||CB|NS|40|
49952||BK|132|81|
50276|Cobra|BK|85||
50277|Cobra|CB|23||
50297|1500 W/ JC5,JH5|BK|129|148|
50299|2500 W/ JC5,JH5|BK|221|148|
50305|1500 W/ JH6|BK|129|122|
50307|2500 W/ JH6|BK|221|122|
50389||CB|17-22|28-35|
50391||BK|101-129|53-71|
50397|W/O brembo|CB|20|32|
50400|W/O brembo|BK|113|62|
50402||BK|113|62|382
50430||CB|32|19|
50509||BK|112|33|
50512||CB|20|28|
50549||BK|58-75|36-50|
50593||CB|25|17|
50596||BK|80|54|
50640||CB|36-39|28-36|
50643||BK|58-75|38-49|
50682||BK|83|41|
50699|XR|CB|25||
50703|XRS|CB|25|34|
50705|Base|CB|25||
50803||BK|NS|48|500
50807||CB|NS|26|500
50811|CII 41|BK|NS|48|
50814|CII 41|CB|NS|26|
50849||CB|31|20|
50853||BK|140|85|
50919||BK|101|80|
50928|SRT8|BK|140|96|
50940|SRT8|CB|44|23|
51020|6-Cyl|CB|37|18|
51024||CB|22|20|
51101|2FN|BK|92|NS|
51104|C41/C38|BK|NS|48|
51107|FS III|CB|22|NS|
51108||BK|133|94|
51120|2FN|CB|25|NS|
51131|C41/C38|CB|NS|26|
51148|W/ JE5 Brakes|BK|96|88|
51151|W/ JE5 Brakes|CB|25|44|
51154|W/ JL9 Brakes|CB|46|44|
51157|W/ JL9 Brakes|BK|96|88|
51160|W/ J56 Brakes|BK|96|88|
51195|W/ J55 Brakes|CB|83|46|
51198|W/ J55 Brakes|BK|181|120|
51201|W/ JL9 Brakes|BK|133|94|
51204|W/ JL9 Brakes|CB|27|25|
51214||CB|58|16|
51254|C38/C41|BK|NS|66|141
51257|FN3|BK|140|NS|
51260|C38/C41|CB|NS|26|
51263|FN3|CB|22|NS|
51283||BK|103||113
51285||BK|144|100|
51288||CB|NS|27|
51289||BK||59|595
51313|Turbo|BK|58-75|38-49|
51316|Naturally Aspirated|CB|16-23|16-23|
51320|Turbo|CB|19-22|16-23|
51323|Naturally Aspirated|BK|58-75|38-49|
51341||BK|58-75|43-56|
51368||CB|16-23|15-18|
51371||BK|58-75|37-50|
51430|FN3|BK|147|NS|
51436|FNR-G|CB|18|NS|
51438|V|BK|96|88|
51443|FN3|CB|18|NS|
51446|FNR-G|BK|140|NS|
51468||BK|148|60|
51470||CB|55|22|
51523|J65, JL9|BK|133|96|
51526|J65, JL9|CB|70|25|
51529|Z7U|CB|44|44|
51532|Z7U|BK|136|89|
51536|Sedan/Wagon|BK|85|85|
51545|4MATIC|BK|81|85|
51596||BK|130|64|
51624|Fixed Caliper|BK|133|85|
51628||BK|133|17|366
51694||BK|133|52|
51698|W/ Dual Piston|CB|38|23|
51720||CB|NS|20|394
51732||CB|20|23|
51748||CB|20|33|
51753|JH5|CB||25|
51757||CB||53|550
51765||BK|221|123|550
51873|2500 Series|BK||148|
51878|1500 Series|CB||28|
51883|2500 Series|CB|80||
51888|1500 Series|BK||122|
51985||BK|51-62|51-62|
52034|R/T|BK|70|85|
52040|SXT|CB|44|23|
52050|SXT|BK|70|85|
52055|SE|CB|44|23|
52065|R/T|CB|44|23|
52077|SE|BK|70|85|
52085|JH6|CB|74|28|
52090|JD9|BK|148|122|
52095|JH6|BK|148|122|
52100|JD9|CB|74|28|
52167||BK|58-72|58-72|
52178||BK|91|78|
52210|Non Ceramic|BK|200|132|
52215|Ceramic|BK|200|111|118
52218||CB|16-24|18-24|
52241|SE|CB|32|32|
52245|SXT|CB|32|32|
52247||BK|80|52|
52250|R/T|CB|32|32|
52277||BK||11|158
52281||BK|48||121
52371||BK|58|40|
52407||BK|122|62|
52418||CB||29|
52450||BK|61-68||
52479|W/ JC5/JH5 Brakes|CB|80|31|
52485|W/ JH6 Brakes|CB|80|31|
52489|W/ JC5/JH5 Brakes|BK|129|148|
52505|W/ JH6 Brakes|BK|129|122|
52507||BK|72|65|
52509|JH6|CB|80|122|
52513|JC5/JH5|CB|80|148|
52877||BK|59|44|097
52915||BK|58-72|62-69|
52919||BK|79|41|
52988|Overland|BK|125||
52991|Overland|CB|32|32|
52994|Limited|CB|32|32|
52997|Limited|BK|125||
53000|Laredo|CB|32|32|
53004|SRT8|CB|32|32|
53007|SRT8|BK|140|185|
53011|Laredo|BK|125||
53049||BK|51-63|36-43|
53083||BK|120|77|
53130|Standard|BK|140|96|
53133|Standard|CB|44|23|
53136|SRT|BK|70|85|
53139|SRT|CB|44|23|
53170||CB|43|21|
53195||BK|80|44|
53198||CB|25|15|
53309|CII 41|CB|NS|25|
53315||BK|NS|66|501
53321|FNR-G|CB|22|NS|
53325||CB|NS|25|500
53328|CII 41|BK|NS|66|121
53357||BK|210|210|
53385|Naturally Aspirated|CB|21|21|
53388|Supercharged|CB|43|21|
53391||BK|72|43|
53406||CB|25|34|
53415|Others|CB|25|24|
53417|Others|BK|85|79|
53419|Shelby|BK|85|79|
53422|Shelby|CB|NS|24|
53502||BK||33|
53563||BK|130|130|
53576||CB|28|41|
53607||CB|42||
53612||BK|126-169|40|
53616||BK|73-97|80|
53753|1500 Series|CB|74|28|
53756|1500 Series|BK|148|122|
53873||CB|28-36|28-36|
54005|W/ JD9|CB|74|148|
54009|W/ JH6, JH7|CB|80|80|
54013||BK|221|148|551
54017|W/ JD9|BK||28|
54022|W/ JD9, JF3, JF7|BK|129||
54031|W/ JD9, JF3, JF7|CB|74||
54039||BK|132|132|
54106||BK|61.5|43.5|
54112||CB|19|17|
54130||BK|137|89|
54261||BK|48-55|58-72|
54283||BK|98|62|
54434||BK|136|89|
54439||BK|79|54|
54451||BK|70|85|
54568||BK|96|96|
54642||CB|44|44|
54874||BK|78|56|
54978||BK|122|130|
54991|Front w/Flanged bolt|BK|88.5|39|
54999||BK|59|39|538
55006||BK|88|48.7|
55044||BK|59|39.1|388
55064||BK|133|NS|
55103||BK|132|85|
55240|M12 Bolt Rear|BK|125|66|
55243|M8 Bolts|CB|18||
55248|M14 Bolt Rear|BK|125|125|
55252||CB|22||591
55323||BK|79-93|58-75|
55329||CB|61-68|16-23|
55486|1500 Series|CB||31|
55496|2500 Series|CB||80|
55510||BK|129|151|
55514||CB|47|20|
55550||BK|100|75|
55553||CB|28|28|
55575|Daytona R/T|BK|70|85|
55588||BK|96|62|
55590|Daytona R/T|CB|44|23|
55606||CB|40|15|
55799||BK|81|-|
55813|w/ V-6|CB|70||179
55817|w/ V-6|BK|133|89|
55822|w/ V-8|CB|70||179
55825||CB|18-26|18-26|
55826|w/ V-8|BK|133|89|
55874||CB|41|28|
55936||CB|44|21|
55940||BK|111|81|
55955||BK|200|133|
55989||CB|23-28|23-28|
55997||BK|58-71|62-69|
56039||BK|80|53|
56080||BK|85|85|387
56082||CB|29|32|
56104||BK|57|40|
56120|Others|BK|84|62|
56125|Black series|BK||22|121
56131||BK|85|NS|
56135||BK|133|84|
56145||CB|22|18|
56214|4MATIC|CB|18|20|
56218|As Of 9/2002|BK|85||110
56224|4MATIC|BK|132|85|
56313||CB|21|26|396
56318|1ZE, 1ZP, 1LJ, 1ZD|CB|22|26|
56323|1LK|CB|22|26|
56329|1ZE, 1ZP, 1LJ, 1ZD|BK|140|66|131
56361||CB|65|19|
56376||CB|25|29|
56424||BK|85||604
56447|BREMBO 18"|BK|199|NS|
56463|BREMBO 18"|CB|22|NS|
56471|BREMBO 17"|CB|NS|NS|
56479|BREMBO 17"|BK|199|132|
56731|Single Piston|BK|98|62|
56738||BK|113|62|559
56744|Single Piston|CB|20|32|
56745||CB|53|27|
56872||BK|140|66|395
56874|2500 Series|BK|221|148|
57017|C38|CB|26|26|
57023|HP-2|BK|140||
57034|Bremo|BK|81||
57042|FN3|BK|||186
57053|C43|BK|||187
57059|FN3|CB|18||
57067|C38|BK|70|70|
57074|C43|CB|26|26|
57082|FNR-G60|BK|148||
57252||CB|47|22|
57286||CB|38||516
57403|HD Brakes|BK|181|83|
57410||BK|100|63|
57427|LD Brakes|BK|137|63|
57565|Bi TURBO|BK|85|133|
57601||BK|129|122|
57605||BK|81|NS|
57688||BK|106-126|28-38|
57696|12,300 LBS GVW|CB|80|80|
57697||BK|113-114|29-37|
57701|8600-9600 LBS GVW|BK|221|122|
57703|Single Piston|CB|17-22|28-36|
57707|12,300 LBS GVW|BK|221|148|
57709||BK|80-94|58-75|
57712|8600-9600 LBS GVW|CB|80|80|
57716||BK|113-114|-|609
57720|VE Type|CB|-|17-22|
57722|VD Type|CB|17-22|-|
57726|VB Type|BK|-|53-71|
57730||CB|-|-|609
57733|VD Type|BK|113-114|-|
57737|VB Type|CB|-|-|
57739|VE Type|BK|-|53-71|
57803|VE Type|CB|-|28-36|
57814||BK|221|148|
57828||BK|115|62|
57872||BK|101-129|116-144|
57879|6.0L, 8.1L|BK|221||078
57883|5.3L|BK|129||
57888|5.3L|CB|80|31|
57892||CB|20|28-36|559
57893|6.0L, 8.1L|CB|80|80|
57904||BK|113-114|53-71|
58413||BK|141-191|128|
58416||CB|16-30|27|
58568|J55|BK|166|96|
58574|J55|CB|48|20|
58577|JE5|BK|166|96|
58581|JE5|CB|20|20|
58596|Sport|BK|83||
58653||BK|72-97||
58659||CB|28-36|20|
58668||BK|67-81|41-48|
58675||CB|31-37|28-36|
58696||BK|85|89|
58701||CB|23|133|
58736|JH5|CB|80|25|
58805||BK|130-190|80|
58808||CB|25-35|15-18|
58841|Four Piston|BK|60||
58847|Four Piston|CB|NS||
58851||BK||28|559
58856|Single Piston|CB|18|32|
58861||CB||NS|559
58865|Single Piston|BK|95|62|
58995||BK||81|
59000||CB|31|31|172
59005||BK|44||171
59095||CB|25|32|367
59162|J41/JM4|BK|85|85|
59171|JL9|BK|96|85|
59176|W/ JD9|BK||148|
59188|W/ JF3, JF7, JD9|CB|74||
59193|W/ JD9|CB||28|
59197|W/ JF3, JF7, JD9|BK|129||
59349||CB|NS|22|
59588||BK|166|129|
59776||CB|24|NS|
59779||BK|53|122|
59791||CB|22||512
59794||BK|147||545
59797||BK|140||502
59800||BK||55|
59802||CB|22||370
59805||BK|140||370
59808||CB|22||502
59814||CB|NS||545
59816||BK|140||178
59950||BK|NS||109
60007||BK|132|NS|
60010||CB|20|NS|
60087|JC3/JC4/JH2|CB|80||731
60092|JC4/JH2|CB||31|731
60094|JC3/JC4/JH2|BK|129||731
60096|JC4/JH2|BK||148|731
60109|Limo|BK|133|120|
60207||CB|NS|22|500
60296||CB|61-68||
60311|Twin Piston Front|CB|34||
60313|Twin Piston Rear|CB||NS|
60315|Four Piston Front|CB|NS||
60319|WRX STI|BK|114|48|
60320|WRX STI|CB|NS|NS|
60321||BK|59|59|
60325||BK|88.5|39|
60418||BK|51-54|47-55|
60455||CB|22|26|
60456||BK|89|52|
60521||CB|37|17|594
60595||BK|73|78|
60703|C41|CB|NS|25|
60705||BK|NS|140|500
60707|C41|BK|NS|66|121
60772||CB|22|18-22|
61033||BK|203|85|
61102|1ZP|CB|22|NS|
61106||CB|26|NS|620
61110|1ZP|BK|140|NS|
61115|1LM|CB|22|NS|
61119|1ZD, 1LV|CB|22|NS|
61123||CB|26|NS|345
61124||BK|67-81|38-44|250
61127|1ZD, 1LV|BK|140|NS|
61132||BK|66|NS|345
61138|1LM|BK|140|NS|
61141||BK|66|NS|340
61484|W/ 1LW|BK|140||
61488|W/ 1LT,1LY|CB|22||
61492||BK||74|348
61496||BK|145||352
61500|W/ 1LT,1LY|BK|140||
61504||BK|145||304
61509|W/ 1LA, 1LB, 1LJ/1ZT|CB|22||
61514||BK||74|326
61518||BK||74|337
61522||CB||26|348
61526|W/ 1LD|CB|22||
61530||BK|145||307
61534||CB||26|326
61537||CB||26|337
61559||CB|20|18|596
61563||BK|74|NS|
61630|1KW, 1KE, 1KY|BK||55|
61634|1KD, 1KP|BK||55|
61638|Brembo - 1LP|BK|148||
61642|1KW, 1KE, 1KY|CB||25|
61646|1LB, 1LE,1LF,1LT|BK|140||
61650|1LA, 1LD,1LJ|CB|22||
61654|1LA, 1LD,1LJ|BK|140||
61657|1KD, 1KP|CB||25|
61661|1LB, 1LE,1LF,1LT|CB|22||
61770||CB|21|28|
61774||BK||80|595
61778||BK|103||174
61785|LX|BK|70|85|
61788|W/ 1KZ|CB||26|220
61796|W/ GP0,GP1,GP2,2ED|CB||26|220
61820|W/ 1LA, 1LB, 1LJ/1ZT|BK|145||220
61823|W/ 1KW, 1KE,2EH,1KP|CB||26|220
61826|W/ 1LM|BK|145||220
61829|W/ 1LD|BK|145||220
61837|LX|CB|44|23|
61854|M8 Bolt|CB|25||
61858||BK|59|59|154
61862||CB|48||591
61899||CB|27|45|
61903||BK|195|166|
62089||BK|98|66|
62235||BK|54-62|47-54|
62239||CB|19-28|15-24|
62253|Evolution|BK|89-111|52-66|
62324||CB|47|20|157
62366||BK|84|84|
62495||BK|125|74|
62538||BK|90|52|
62577||BK|||193
62583||CB|||192
62606|JH6/JH9|CB|80||
62612|JH5|BK|129||
62617|JH5|CB|74|25|
62624|JH6/JH9|BK|221||
62631|JH9|BK||221|
62638|JH5/JH6|BK||148|
62643|JH6|CB||53|
62648|JH9|CB||45|
62674||BK|89|89|
62680||BK||89|
62684|LNF|BK|96|96|
62686|W/ 16.0" disc|BK|73||627
62690|Naturally Aspirated|BK|85|85|
62693|W/ 15.0" disc|BK|89||628
62725|W/Socket Head Bolts|CB|22|-|178
62739|W/Hex Head Bolts|CB|26|-|178
62759||BK|73|73|
62808|Guide pin size 7|CB|20||
62814|W/ M14 Bolts|BK|59||097
62820||BK||85|
62830|Guide pin size 9|CB|41||
62839|Hex SW13 screw|CB|30||
62844|T45 Torx screw|CB|20||
62854|W/ M12 Bolts|BK|85||
63046||CB|42|21|593
63057|Standard Brakes|CB|21|21|
63094||CB||18|238
63182||BK|111|76|
63221||BK|74|74|191
63300|W/ Large Bolts|BK|70|36|
63312||BK|70|21|542
63320||CB|20|24|
63334|Ralliart|BK|67-74|38-48|
63340|ES|CB|28-36|28-36|
63347|DE|CB|28-36|28-36|
63353|SE|CB|28-36|28-36|
63359|DE|BK|67-74|38-44|
63366|GTS|CB|28-36|28-36|
63373|SE|BK|67-74|38-44|
63376|W/Socket Head Bolts|CB|22|22-26|178
63381|ES|BK|67-74|38-44|
63390|GTS|BK|67-74|38-44|
63396|Ralliart|CB|48-62|28-36|
63404|W/Hex Head Bolts|CB|26|24-28|178
63503||BK|48-55|16-24|
63507|Signature Series|BK|70|85|
63515||BK|70|21|
63562||CB|26-33|16-24|
63566||BK|51|NS|
63700||BK|79|42|
63758|W/ 1LW Ceramic|BK|NS||
63766||BK||NS|595
63771||CB||81|596
63777|W/ 1LW ceramic|CB|81||178
63783||CB|81||625
63789|W/ 1KU Ceramic|CB||81|178
63796|W/ 1KU Ceramic|BK||NS|
63799|Others|BK|85|76|
63801||BK|144||178
63803||BK|NS||706
63806|Shelby|BK|85|76|
63977|JE5|BK|170|100|
63980|W/ 1LJ, 1LL|BK|147||178
63983|J55|BK|170|100|
63985|W/ 1LK, 1LM, 1LN|BK|147||178
63988|JE5|CB|46|44|
63991|W/ 1LJ, 1LL|CB|22||
63994|J56|CB|24|24|
63996|W/ 1LK, 1LM, 1LN|CB|22||
63999|J56|BK|129|96|
64002||BK||66|121
64004|J55|CB|46|44|
64102|JE5, JL9|CB|24|44|
64107|J56|CB|NS|NS|
64113|JE5, JL9|BK|96|88|
64222|J55|BK|181|120|
64223||BK|58|80|
64227|JL9|CB|27|25|
64228||CB|—|17|
64232|J55|CB|83|46|
64237|JL9|BK|133|94|
64324||CB|56|26|195
64365|W/ RPO J57|CB|22|22|
64381||CB|37||
64483|GXP|CB|31||
64494|GXP|BK|44||121
64517||CB|25|10|
64681|Hybrid|CB|17|17|
64687|HYBRID|BK|80|54|
64731|W/ 6 Piston Caliper|CB|22||
64891||CB|32|20|
64897|Single Piston|BK||62|
64905|Single Piston|CB||32|
64910||BK||62|559
64916|Twin Piston Front|CB|20||
64934|Twin Piston Front|BK|98||
64940|Four Piston Front|BK|98||
64946|W/O 9mm Wrench Size|CB|22|-|178
64953|W/9mm Wrench Size|CB|41|-|178
64959||BK|81|81|178
64967||CB||18-22|178
64969||BK|NS|66|121
64974||BK|147|NS|
65061||BK|122||
65295||BK|62-72|36-43|
65329||BK|NS|40|
65378|Black Series W/ P98|BK|84|62|
65381|Black Series W/O P98|BK|84|22|121
65385|Cabriolet|BK|84|62|
65400|SRT4|CB|44|32|
65589||CB|-|22-26|178
65593||CB||22-26|178
65609|W/9mm Wrench Size|CB|41|-|
65611|W/O 9mm Wrench Size|CB|22|-|
65634||BK|73|70|
65682||BK|84|40|
65692||BK|84|85|
65693||CB|NS|20|371
65694|W/O CodeZO4,950,952|CB|19|20|
65753|Signature Series|CB|44|23|
65803||BK||74|384
65804||CB||26|383
65805|W/ 1LA,1ZB,1ZT,1LJ|BK|145||178
65806||BK|145||560
65807|W/ 1KW,2EK,1KE|CB||26|
65808|W/ 1KW,2EK,1KE|BK||74|121
65810||CB|32|92|
65835||BK|133||
65837||CB|47||
65880|JM4|BK|85|85|
65895||CB|25|26|
65920|Torsion Beam Susp|CB||26|
65922|Torsion Beam Susp|BK||46|
65926||BK||43|509
65927|S|CB|44|23|
65928||CB||20|509
65935|S|BK|70|85|
66065||BK|61-74|38-48|
66081|W/ V-6|BK|30|30|121
