RecNo|Submod|Appl|FTorq|RTorq|Note
9626|1.6L Sedan|BK|56-72|36-43|
9630|1.6L Hatchback|BK|56-72|36-43|
9634||BK|58-72||387
9778||BK|70-100||
9858||CB|25-40||
9948||BK|40-60||
9961|Country Squire|BK|40-60||
10304||CB|12-16||
10440|Light Duty|BK|141-191|74-100|
10450|Super Duty|BK|141-191|74-100|
10642||BK|18-25||
10783||CB|2.6-3.9||
10826||CB|NS|NS|
10899|W/ 1/2" Bolt|BK|110||
10906|W/ 5/8" Bolt|BK|160||
10923||BK|29-36|33-44|
11076||BK|73-97||
11082||CB|38-48||
11152||CB|29-36||
11169||CB|21-26|20|
11175||BK|136|70|
11229||BK|18-25|45-65|
11256||BK|125-170|40|
11263||CB|38-48|20|
11271||CB||23-26|
11434||BK|51-65||
11553|Vented Rotor|BK|65|65|
11560|Solid Rotor|BK|65|36-43|
11567||CB|54|36-43|
11601|4WD|CB|12-20||
11634||CB|18-25|23-26|
11639||BK|85|64-88|
11709||BK|130-190|130-190|
11715|Others|CB|18-26|15-18|
11718|GT|BK|30-40||
11723|ATE, Kelsey-Hayes|CB|25-35|15-18|
11724|LX|BK|30-40||
11730|SVO|BK|40-60|80-100|
11736|SVO|CB||30-50|
11740|L|BK|30-40||
11847||CB|23-28|23-26|
11852||BK|65-87|65-87|
12104|4WD|BK|150||
12111||BK|110||516
12253|V8|BK|40-60||
12258|4-Cyl|BK|30-40||
12266|V8|CB|18-25||
12306|4-Cyl|BK|45-65||
12312|V8|BK|45-65|64-88|
12318|V8|CB|18-25|30-35|
12328||BK|23-30||
12333||CB|31-41||
12523||BK|22-27||
12531||CB|23-30||
12615|Naturally Aspirated|BK|40-60||
12616||CB|21-26||
12621|TURBO|CB||18-24|
12623||BK|136||
12626|TURBO|BK|40-60|80-110|
12652||BK|96|65-87|
12657|Others|CB|65|23-26|
12664|Cobra|CB|65|23-26|
12708|TURBO|BK|45-65|80-100|
12722|Naturally Aspirated|BK|45-65||
12802||CB||18-25|
12807||BK|19-25|45-65|
12972||BK|95|73-97|
12978||CB|60|23-26|
13046||CB|30-40||
13153||BK|55-65||
13183||CB|23-30|12-17|
13190||BK|58-72|33-49|
13329||BK|58-74|33-49|
13335||CB|33-36|25-29|
14257|4WD|CB||32|
14263||CB|54|20|516
14270||BK|65|36-43|
14533||CB|27-36||524
14540|Hatchback|CB|27-36||
14545|US|CB|27-36||
14549||BK|58-72|36-43|
14551|US|CB|27-36||
14554|4WD|CB|46-62|16-23|
14560||CB|46-62|16-23|516
14748||CB|54|54|516
14759|4WD|CB|54|54|
14863|Hatchback|CB|36|20|086
14875||BK|16|85|
14880||CB||16|
14982||BK|56-72||
15108||BK|55||
15486||BK|55|55|
15525||BK|85|11-14|
15566||BK|85|85|
16013||BK|65||
16151||BK|16||
16163||BK|88|43|
16169||CB|20|30|706
16175||CB|20|30|595
16222||CB|20||
16804||CB|51-65|29-36|
16809||BK|58-73|58-73|536
16815||BK|51-58|51-58|537
17027||BK|45-65||
17072||BK|126-169|20-40|
17077||CB|45-65|22-30|706
17084|Early, Bendix|BK|12-18||
17088|Early, Delco|BK|3||
17094||BK|38||511
17245||CB|18-26|22-30|
17301||BK|126-169|17-20|
18128|RWD|BK|51-65||
18252||CB|16-23||
18317||BK|56||
18563||BK|22-26||
18599||BK|77||
18756||CB|56||
18760||CB|20||001
18796|FI|CB|24||
18797|Carburetor|CB|33||
18834|4-Cyl|BK|80|28|
18836|4-Cyl|CB|54|18|
19145|1300|CB|13||001
19148|1500 Wagon|CB|56||
19151|1500 Hatchback|CB|13||001
19154|1500 Sedan|CB|36||001
19385||CB|13||001
19397||BK|85|70|
19485||CB|33||524
19489|4WD Wagon|CB|36||
19491||BK|7-15||
19493|Hatchback|CB|33||
19502|2WD Wagon|CB|33||
19683||BK|75-95||
19742|Hatchback|CB|20||
19752||CB|20||524
19756|2WD Wagon|CB|20||
20183||BK|85|41|
20207||CB||36|
20377||BK|77||516
20383||CB|25-35||516
20390|4WD|BK|7-15||
20540||BK|56|56|
20593||BK|65|65|
20598||CB|37-48|23-26|
20602|DX|CB|33||
20612|HF|CB|24||
20618|Si|CB|33||
20622||CB|18-23||
20651|Base|CB|33||
20669||CB|48||
20720|DX|CB|25|16|
20729|HF|CB|17||
20735|Si|CB|36|16|
20754||BK|29-36|29-36|
20773|4WD|BK|65||
20779|FWD|CB|54|20|
20790|FWD|BK|65|40|
20921|4-Cyl|CB|24||
20927||CB|54|32|605
20935||BK|115|77|
20967||BK|45||
21154||CB|13|22|001
21167||CB|13|17|001
21218||BK|50||
21242|FI|CB|24|16|
21247|Carburetor|CB|36|16|
21400||CB|54|20|
21743||CB|26-33||
21748||BK|48-55||
21862||BK|49-63|16-23|
22101|Tokico|BK|16-23||
22108|Sumitomo|BK|43-58||
22273||CB|25-32||
22502||CB|45-65||
22520||BK|18-24|18-24|
22523||BK|58||
22532||CB|16-23|16-23|612
22537|Late, Dual Piston|CB|46-62|16-23|
22547|Late, Single Piston|CB|46-62|16-23|
22661||CB|46-62|16-23|
22679||BK|17||
22692||BK|51-63||
22697||CB|16-24||
22836||BK|51-63|16-23|
22967||CB|45-65|22-30|
23011||BK|60||
23018||CB|51-65||
23195||CB|58-72||
23220||BK|51||
23234||CB|29||
23277||BK|53-72|28-38|
23351||CB|16-23|31-41|
23380|W/ TURBO|CB|16-23||
23390|W/O TURBO|CB|16-23||
23429||CB|61-69|23-30|
23471||CB|12-20||283
23475||BK|141-190||283
23491||BK|141-191||283
23499|4WD|BK|141-191||
23527|W/ 1.5L Engine|CB|16-23|16-23|
23529|W/ 1.6L Engine|CB|16-23|16-23|
23629||CB|36|20|086
23631||CB|36|20|087
23728|Lower Pin|CB|61-69||
23730|Upper Pin|CB|36||
23787|FWD|CB|16-23||
24055||BK|87-101|28-38|
24097||CB|61-69|31-41|
24100||BK|87-101||
24103||BK|137|91|
24105||BK|62||
24108||BK|103-126|69-84|
24110||CB|27-37|12-17|
24137||BK|38|52|565
24167||BK|103-126|77|
24183||BK|36||
24210|RWD|BK|36||
24213|FWD W/ TURBO|CB|36||
24216|FWD|BK|41||
24218|FWD|CB|36||
24239|W/ TURBO|CB|36||
24302||BK|36|36|
24304||CB|25-28|13-16|
24331||BK|72|72|
24334||CB|36|32|
24406||BK|29||
24449||BK|62-65||
24453||CB|22-25||
24568||CB|55|32|
24571||BK|65|93|
24593||BK|52||
24597|Sumitomo|CB|43-58||
24602|Tokico|CB|25-32||
24711||CB|23-30|16-23|
24729||BK|65|33|
24810||CB|24-31||
24825||BK|67||
24834||CB|12-15||
24837||BK|53-72||
24852||BK|62|62|
24870||CB|12-15|28-38|
24875||BK|62|33|
24887||CB|12-15|16-23|
24967||BK|44|33|
25028|W/ AN18 Caliper|BK|38||
25032||CB|33-44||
25035|W/O AN18 Caliper|BK|62||
25283||CB|16-23|28-38|
25400||CB|16-23|23-30|
25524||BK|62|33|563
25529||BK|80|33|613
25533||CB|16-23|23-30|563
25558||BK|80|33|
25614||BK|44||
25616||CB|40-47||
25821||CB|12-14||
25933||CB||12-14|
26115||BK|79|34|
26116||CB|29|20|
26119||CB|25|20|
26123||BK|87|77|
26152||CB||25|
26160||BK|90|76|
26162||CB||65|
26318|W/ DOHC Engine|CB|16-23||
26320|Single Overhead Cam|CB|16-23||
26353||CB|18-25||
26395|Diesel|CB|23-30||
26397||CB|16-23||558
26466|Coupe|CB|16-23||
26470||CB|16-23||524
26473||CB|16-23||387
26751||CB|23-30||387
26759|Hatchback|CB|23-30||
26768||CB|23-30||524
28029|Others|CB|16-23||
28419||CB|24||
28426||BK|115||
28570||CB|33|32|
28632||BK|103-126|69-89|
28639||CB|20-27|12-17|
28927||CB|47-55|50-60|
28932||BK|75-95|38-45|
29007||CB|41-45|23-26|
29673||CB|25-33|12-17|
29678||BK|58|38|
29748||BK|44|39|
29767||CB|50-60||
29772||BK|50-60|49-55|
29837||CB|29||369
29844||CB|65||362
29849||BK|80||516
29857|2WD, Cab & Chassis|CB|29||
29885|4WD|BK|90||
29952||CB|16||
30010||CB|19-22||
30155|4-door|CB|20||
30160|2-door|CB|16-23||
30252||BK|90-120|40-54|
30369||BK|35|38|
30449||BK|35|38|524
30453||CB||30-45|
30455|Coupe|BK|35|38|
30461||BK|35||387
30496||CB|27|18|
30523|W/ Single Piston Cal|CB|27|18|
30531|W/ Dual Piston Calip|CB|27|18|
30593||BK|40-60|80-110|
30602||CB||30-50|
30621||BK|40-60|80-100|
30631|GTI|BK|62|36|
30636|GLX|BK|62||
30658|GS|BK|62||
30667||CB||29-37|
30673|GA|BK|62||
30685|GL|BK|62||
30688||CB|30||008
30689|GT|BK|62||
30693|L|BK|62||
30697||BK|18-25|80-100|
30699|S|BK|62||
30791||CB|29|26|
30846||CB|11-15||006
30852||BK|43||
30871||CB|25|16|
30890||CB|40-54|29-39|
30895||BK|67|34|
30912||CB|14|14|005
30923|W/ 15" RC54 & C54|CB|25|25|
30928||BK|206|125|535
30931||CB|16-24|23-26|
30934|W/ 15" RC54 & C54|BK|206|125|
30936||BK|51|43|
30941||CB|18|25|535
30946||CB|18|25|534
30951||BK|NS|125|534
30962||CB|27|14|
30968||BK|77|34|
30988||BK|91|47|
31155||BK|45-65|80-100|
31162||CB|65-72|38-46|
31165||BK|74|44|
31191||BK|45-65|80-110|
31212||BK|87|72-97|
31300||CB|18-26||
31303||BK|45-46|19-25|
31327|Base|BK|62||
31380||CB|65||516
31462||BK|90||
31526||BK|33||387
31531||CB|12-22||387
31534|Hatchback|BK|33|44|
31537|Hatchback|CB|12-22|12-17|
31540||CB|12-22|12-17|524
31543||BK|33|44|524
31555||CB|18||004
31610||CB|29|14|
31613||BK|80|43|
31616||CB||33-43|
31619||BK|80|34|
31620||BK|29-36|44|
31650||BK|33|44|
31652||CB|29-26|33|
31680||CB|33-40||
31697||BK|18||
31699||CB|14-22||
31711|Diesel|CB|12-22||
31715||CB|14-22||558
31724||BK|18|56|
31726||CB|12-22||
31740||BK|65|56|
31773||BK|74|43|
31818||BK|66|42|
31869||CB|22|6|
31871||BK|75|45|
31885||CB|61-69|12-17|
31887||BK|72|42|
31915||BK|81|42|
31917||CB|47-62|28-36|
31968||BK|73||
32055|Naturally Aspirated|CB|25|25|
32089|2WD, ½-ton|CB|26||
32092||CB|25-29||
32151|Hatchback|BK|61||
32158||BK|45||387
32161||BK|61||524
32188||BK|61||
32198||CB|33-40|33-43|
32219||CB|58-65|33-43|
32242|2WD DLX|BK|80||
32244|2WD Prerunner, 4WD|BK|90||
32246|2WD DLX|CB|65||
32359||CB|11-15||005
32361||BK|34||
32452|RWD|BK|95-125||
32457|RWD|CB|15||
32466||CB|25-35||598
32470|FWD|BK|130-190||
32473||CB|18||524
32476|Hatchback|CB|18||
32477|FWD: Others|CB|16-23||
32606||CB|14||004
32638|4WD|BK|61||
32644||CB|14||516
32646|4WD|CB|17||
32770|Sport & TURBO|BK|60|60|
32775|Base W/ Nat Aspir|BK|60|61|
32784||CB|74||
32817||BK|60|61|
32826|Sliding Caliper|BK|61|61|629
32827||BK|29-40||
32831||CB|11-15||366
32839||BK|47||
32841|Solid Rotor|CB|18|26|
32845|Vented Rotor|CB|26|26|
32848||CB|14||005
32883||BK|61|61|
32915|Base W/ Nat Aspir|BK|61|61|
32917||BK|91|48|
32919|TURBO|BK|63|63|
32922||CB|29|26|595
32928||CB|29|26|706
32933||BK|69|34|
32949|S W/ Nat Aspir|BK|61|61|
32972|FWD|BK|69|34|
32977|FWD|CB|18|14|
32981|4WD|CB|27|14|
32985|4WD|BK|73|34|
33077||BK|63|63|
33105||BK|61|63|
33127||CB|25-27||002
33132||BK|74||
33282||BK|87|34|
33285||CB|25|14|
33506|RWD|CB|14||005
33509|FWD|BK|65||
33512|FWD|CB|18||004
33516|RWD|BK|47||
33566||CB|44||002
33624||CB|40-45||
33748||BK|88|47|
33821|Solid Rotor|CB|21|NS|
33850|DLX|CB|18|14|
33855|Base|CB|18|14|
33858|DLX All-Trac|CB|18|14|
33863|LE|CB|18|14|
33874|GTS|CB|29|14|
33880|SR5|CB|18|14|
33887|SR5 All-Trac|CB|18|14|
33906||CB|47-62|12-17|
33915||BK|88|44|
33928||BK|67|35|
33936||CB|24|20|
34013||CB|61-69||
34087||BK|73||516
34125||BK|73|65-87|
34131||CB|61-69|29-36|
34184||BK|29-36|39|
34274||BK|81|60|
34279||CB|21||
34287||CB|NS|12-17|
34305||BK|62|35|
34308|W/ 60-Vane Rotor|CB|21|21|
34313|W/ 30-Vane Rotor|CB|NS|21|
34322||CB|21|21|
34436|LSX|CB|18|14|
34492||BK|35|30-45|
34588||BK|74|74|
34710||CB|22-30|22-30|
34761||CB||23-30|530
34768||CB|23-30|23-30|531
34805||BK|36|65|
34903||BK|86|63|
34908||CB|27|27|
34970||CB||47-62|
34975||BK|65|36|
34983||BK|76||
35027||BK|21-35|10-40|
35055||CB|62-68||
35086||CB|65|14|005
35098||CB|23|27|
35104||BK|166|160|
35140||CB||18|
35154||CB|65|47|
35317||CB|33-54||003
35371||CB|12-17||003
35381||BK|90|65|
35391||CB|NS|65|
35468||CB|22||
35473||BK|65|43|
35561|Single Piston|CB|18|14|
35681||CB|21-26|20|595
35685||CB|21-26|20|706
35721||BK|38|78|
36046|W/O Brembo Brakes|BK|40-120|40-52|
36050|W/ Brembo Brakes|BK|75-90|40-54|
36132||BK|58-75|34-49|
36135||CB|22-28|22-28|
36145||BK|58|58|
36147||CB|24-31|26-32|
36150||BK|125-169|70|
36160||BK|39||
36197||BK|85|85|603
36206|Wagon & 4MATIC|BK|NS|NS|
36237||BK|73-97|70|
36428||BK|43|44|
36581||BK|79||
36612|Solid Rotor|CB|18||
36613|Vented Rotor|BK|92||
36614||BK||41|
36615||CB||26|178
36616|Vented Rotor|CB|26||178
36623|W/ Teves/Ate Caliper|CB|18||
36624|W/ Teves/Ate Caliper|BK|92||
36693||BK|105-126|28-38|
36695||BK|101-130||
36696|W/ Girling Caliper|BK|92||
36697||CB|17-22||
36701|W/ Girling Caliper|CB|18||178
36723||CB||33|
36725||BK|92|70|
36726||BK|85|92|
36727|Teves|CB|18|22|
36729|Lucas|CB|22|22|631
36739|4WD|CB|18-26||
36742||CB|18-26||516
36775|Coupe|BK|80|34|
36781|C38|BK|NS|48|
36783|FS III|BK|NS|NS|
36786|FN3|CB|21|NS|
36788|FN3|BK|92|NS|
36791|C38|CB|NS|26|
36796|FS III|CB|21|NS|
36847||BK||48|
36856|W/ FN 3 Caliper|BK|92||
36861|W/ FN 3 Caliper|CB|21||
36866|W/ FS III Caliper|CB|22||
36894|DOHC|BK|29-36|33-44|
36896|SOHC|BK|29-36|34-44|
36897|W/O 1.8L|CB||26|178
36902|W/ 1.8L|BK||48|
36915|W/ 1.8L|CB||26|178
36926|W/O 1.8L|BK||48|
36997||CB|77||362
37000|2WD, Cab & Chassis|CB|37||
37031|W/ 11.156 Inch Drum|CB|15||
37035|W/ 10 Inch Drum|BK|38||
37039|W/ 13 Inch Drum|BK|38||
37043|W/ 11.156 Inch Drum|BK|38||
37046|W/ 10 Inch Drum|CB|15||
37050|W/ 13 Inch Drum|CB|15||
37177|2WD, FS17 type|CB|13||
37188||CB|29||630
37267||CB|NS|20|
37434||BK|147|50|
37486|ATE, Teves|CB|18|26|
37502|Girling|CB|26|26|
37567||CB|50||
37599||BK|129|129|
37604||CB|80|31|
37638||CB|80|80|
37643||BK|221|221|
37679||BK|61.5||
37682||CB|24-13|26-32|
37754||BK|67|34|447
37764|3.0L|BK|77|34|
37772|3.0L|CB|27|14|
37783||CB|14|14|633
38033||BK|80|41|
38138|Nat Aspir And V6|CB|18|26|
38143||BK|261|125|535
38147|Nat Aspir And V6|BK|89|95|
38156|TURBO & V8|BK|140||
38162|TURBO & V8|CB|18|26|
38170|TURBO & V8|BK|92|48|
38186|Nat Aspir And V6|BK|92|48|
38266|FN3|BK|92|48|
38273|2FN|CB|18|26|
38279|2FN|BK|92|48|
38284|FN3|CB|21|26|
38299|HD Brakes|BK|181|181|
38305|STD|BK|137|94|
38310|HD Brakes|CB|83|23|
38316|STD|CB|63|20|
38397||BK|111||
38481|Late, 1500|BK|129|129|
38486|Late, 2500|CB|80|80|
38492|Late, 1500|CB|80|31|
38493||CB||20|
38498|Early, 4-Wheel Disc|CB|15|15|
38505|Late, 2500|BK|221|221|
38511|Rear Drum|BK|38||
38518||BK|38||612
38528||CB|42|27|
38532||BK|166|150|
38544|Hatchback|CB|16-23||
38565||BK|129|129|511
38579|Early, W/ 4-WH Disc|CB|15|15|
38593||BK|137|96|
38594||CB|80|31|511
38597||CB|26|33|
38765||BK|221|122|551
38770|W/ JC5/JH5|BK|221|148|
38778|W/ JH7|BK|221|221|
38857||BK|80|148|549
38862||CB|80|122|551
38890||BK|80|122|551
39044||BK|98|52|
39049||CB|22|24|
39075||CB|21-30|21-30|
39080||BK|66-85|66-85|
39235|Lower Pin|CB|34-40||
39240|Upper Pin|CB|60-66||
39292||CB|70|32|
39297||BK|133|85|
39368||BK|166|150|077
39405||CB|42|41|
39411||BK|166|100|
39436||CB|40|32|
39448||BK|21||
39467||BK|85|76|
39473||CB|23|25|
39525||CB|26|24|
39537|W/ 2FN|BK|140|70|
39541|W/ HP2|BK|140|70|
39546|W/ 2FN|CB|19|25|
39550|W/ FN3|BK|89|70|
39555|W/ FN3|CB|18|25|
39560|W/ HP2|CB|NS|25|
39604||CB|80||551
39608||CB|31||549
39613||BK|129|148|549
39682|6-Cyl|CB|36|18|
39697|6-Cyl|BK|80|28|
39711|STD|BK|137|96|
39789||CB|27|17|
39835||CB|16-24|16-24|
39841||BK|56-63|16-24|
39912||BK|140|70|137
39918||BK|147|70|136
39923||BK|127-134||
39924||CB|18|26|137
39930||CB|18|26|138
39938||BK|81|70|138
39944||CB|18|26|135
39949||CB|22|26|136
39956|M14 1.5X35|BK|147|70|135
39961|M12 1.5X35|BK|96|70|135
40021|W/ Brembo Brakes|BK|156|51|
40027||CB|25|20|381
40033||BK|76|76|381
40039|W/ Brembo Brakes|CB|25|20|
40089|W/ 1KD, 1KE|CB||26|
40092|1500|CB|80|31|
40095|W/ 1LA, 1LG|CB|22||
40098|2500|BK|221|221|
40100|W/ 1LX, T7Z|BK|140||
40102|2500|CB|80|80|
40103||BK|129|70|
40106|W/ ILJ|BK|81||
40108|1500|BK|129|129|
40109||CB|22|22|
40111|W/ 1LA, 1LG|BK|148||
40117|W/ 1LB, 1LE, 1LT,1LF|BK|||186
40122|W/ 1KE|BK|||187
40124||BK|122|74|
40127|W/ 1LB, 1LE, 1LT,1LF|CB|18||
40135|W/ 1KD|BK||70|
40141|1LP (PR NO.)|BK|147|55|
40147|Others|BK|140|55|
40149||CB|25|NS|
40153|Others|CB|22|26|
40159|1LP (PR NO.)|CB|NS|26|
40256||BK|76|76|
40257||CB|19|23|
40262||BK|70|48|
40400||CB|33-39|25-29|510
40410|W/ M12 Bolts|CB|58-65|25-29|
40417||BK|36-51|34-49|
40448||BK|58-75|58-75|
40455||CB|33-36|33-36|
40469||CB|25-31|28-36|
40474||BK|67-81||
40482||BK|80|38|
40483||BK|136|88|
40490||CB|46|44|
40517|209|BK|85|41|
40524|As Of 7/1999|BK|85|41|
40640||BK|141-191|74-100|
40904||BK||21|
41417||BK|58-73|36-43|
41453||BK|51-62|16-24|
